"FSC.A","SSC.A","FL1.A","FL2.A","FL3.A","FL4.A","FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL4.H","Width","Time","Species","Media","Temp","Rep","Time_point","hours"
13646.3317980728,2360.297436519,36960.9723047088,7528.40421792619,3088.5726319617,460.837403793709,15637.7283800982,6471.03890673293,34443.6475365129,6983.85661475062,2957.26525665111,436.853948245561,65.8720683594934,358.526513544634,"Rpom","full","cold","1","1",0
13742.0435636856,2409.18475609756,41806.57100271,8529.12581300813,3507.7391598916,464.30189701897,15777.6226287263,6513.99857723577,39024.4079945799,7924.12025745257,3351.24891598916,461.605623306233,67.0321138211382,355.934620596206,"Rpom","full","cold","2","1",0
13518.4519844665,2304.74554070954,33597.6293687883,6841.1413808991,2815.20351477654,457.622391891002,15508.8730994537,6383.93865595998,31356.7487000592,6351.25873757652,2703.67123017179,418.426709668926,64.9358257092082,354.661949582044,"Rpom","full","cold","3","1",0
13295.1121808288,2136.57053160318,34522.4455268465,7016.90281213136,2875.38612580387,460.290345903573,15262.8165455307,6188.11507287187,32235.9711556756,6521.00296814947,2764.39594352905,426.954145895963,65.7028806271167,357.118954298109,"Amac","full","cold","1","1",0
14167.9651739815,2211.32059548926,47796.5665765311,9744.30065670223,3974.52714468249,474.895105934092,16183.6359908478,6276.53635634267,44390.3734288176,9002.0774670906,3769.40020206222,500.40498618251,69.0147980863519,355.048405788488,"Amac","full","cold","2","1",0
13207.8439429237,2125.42769365172,24702.9998543972,5000.05099009901,2060.24994175888,447.548456610367,15202.8112114153,6225.11843331392,23198.1470005824,4663.62495631916,2007.97216074549,364.4,61.92335468841,354.486924868958,"Amac","full","cold","3","1",0
13304.6930821495,2337.90673255096,35050.0508956146,7164.24132180358,2966.52736256949,464.385361334157,15255.9633724521,6447.82655960469,32657.093267449,6639.24854848672,2843.70401482397,425.620815318098,65.4009882643607,354.127115503397,"Rpom","noB12","cold","1","1",0
13406.0297310337,2221.84682185502,30330.3553250513,6172.59094198529,2549.44801592088,451.3585815945,15471.4810034978,6326.45700156797,28460.8746833916,5757.06838740803,2466.86804969244,396.696176577011,63.5821372572669,356.348872271137,"Rpom","noB12","cold","2","1",0
13861.8897805213,2303.04739368999,53402.1927640604,10975.2868312757,4550.33689986283,488.839128943759,15935.6034636488,6378.69468449931,49737.4552812071,10168.89739369,4312.66399176955,536.327983539095,69.5846021947874,356.651817558299,"Rpom","noB12","cold","3","1",0
14306.4929673167,2249.96228850989,39320.927294965,8011.16559081335,3290.73608751784,465.373853366855,16470.3928789835,6332.29958551335,36787.9205001019,7463.41720459333,3160.53985187198,453.220833050214,66.7047631990215,355.382075151186,"Amac","noB12","cold","1","1",0
15319.6857102653,2304.63667065363,45455.3540420742,9252.58003236474,3792.72511081404,479.250123126715,17507.9806515162,6361.88412017167,42320.4053331457,8575.82206430732,3610.97727432632,494.374023781046,68.3238584394568,355.811158798283,"Amac","noB12","cold","2","1",0
13899.471060989,2214.56730831551,31098.4150625446,6310.88035517532,2599.92099293538,460.196513059822,15871.1891891892,6299.51610603409,28943.3191392832,5854.09222891957,2506.63432497245,407.869336962862,64.5624473394258,357.971482273641,"Amac","noB12","cold","3","1",0
14611.3526671325,2341.21482646168,38274.085196832,7800.90950384347,3213.41870486839,467.803051479152,16747.8437572793,6479.9775215467,35801.6002795248,7271.70277195434,3085.16061029583,447.610354064757,66.1617167481947,358.742429536455,"Rpom","full","med","1","1",0
14702.2299481737,2306.23519249753,53823.2823914116,11021.9980256663,4557.40368953603,488.409365745311,16879.5409674235,6435.96285784798,50378.6164856861,10258.0325148075,4337.29892645607,533.619200394867,69.4912388943732,355.92799851925,"Rpom","full","med","2","1",0
12881.817107038,2105.27104657621,128698.518368642,27197.640561771,11724.5854955169,594.094104578275,14702.1908275807,6154.53590414981,115081.147107831,24072.9843688011,10546.4971832103,871.275251924145,81.831071966992,354.693088947076,"Rpom","full","med","3","1",0
14239.8285116204,2059.06097364607,40504.7322204927,8247.010198057,3399.18088132682,472.433954162417,16266.6505823627,6139.07321131448,37694.1919918416,7644.30363372873,3251.26069454136,470.247920133112,67.2324083516719,353.468949600129,"Amac","full","med","1","1",0
14646.1458755268,2067.61267721276,54799.6522524495,11191.6281679348,4602.58541792107,497.6793475286,16672.509387487,6155.64333023154,50911.756746401,10336.9768460233,4348.58306420713,545.693579287317,70.2340029558268,355.355301330122,"Amac","full","med","2","1",0
15045.5661191208,2096.13424722288,70805.9312219334,14500.0838454266,5973.70391160482,518.216320018908,17131.2417277239,6157.43831245568,65671.3942330418,13350.552528953,5616.2891751359,620.66580004727,72.6510872134247,357.051583549988,"Amac","full","med","3","1",0
14696.4185378437,2189.44163686463,68858.6144691329,14208.8803423814,5912.54130269098,518.550272615348,16802.4713607317,6251.85759512224,63921.3823650114,13101.3995427097,5559.85038400657,611.786480623791,72.1354282699185,355.706161693146,"Rpom","noB12","med","1","1",0
14366.3475526674,2193.16848338749,37903.1957866052,7730.73577193166,3213.88596583167,471.693061523949,16453.2263389582,6279.96614610628,35388.3319358558,7192.24101247249,3082.19217063201,452.114715438633,66.0973692485064,356.971596268735,"Rpom","noB12","med","2","1",0
14280.6912717061,2195.12527938564,42861.1174852427,8769.48151756548,3650.19800561637,486.767723078686,16395.5688578142,6284.02326780904,40068.6080004585,8165.04791105508,3490.87987850307,484.168662960628,67.22929680784,357.267866353373,"Rpom","noB12","med","3","1",0
13559.7302713159,2011.53038043748,32397.6252170031,6589.33192797976,2724.9234164972,462.638162789544,15559.0091761321,6100.00987054214,30299.8471305987,6146.58444521601,2634.55240315461,420.23188333912,64.8246614751252,356.548335896037,"Amac","noB12","med","1","1",0
14339.9636382207,2060.42806802513,30712.9145089628,6222.38210510188,2580.1190439712,465.943772023901,16368.9370307952,6156.11613298606,28591.2626015015,5782.0732342577,2487.66293856289,411.70971860477,64.5000766048721,357.599407588989,"Amac","noB12","med","2","1",0
13958.2594503375,2119.55405014465,17234.6769045323,3457.36653809065,1451.09392478303,445.841513982642,15961.6587270974,6254.2362584378,16138.9044840887,3217.02290260366,1434.67256509161,310.143442622951,58.2644648023144,355.073143683703,"Amac","noB12","med","3","1",0
15240.8256136387,2182.28371161549,49145.7001129711,10025.1134846462,4159.79500872959,492.560542261477,17422.6703810208,6253.50847283558,45900.0417993222,9316.40916093253,3959.57589606655,518.517305124782,68.7422717469446,355.583495943309,"Rpom","full","hot","1","1",0
14844.0944811485,2132.65227758184,37498.6718990611,7618.5049426258,3161.56435348468,474.244299836074,17006.7199344295,6237.45879489345,35046.4189558393,7095.91977547067,3039.67338930008,449.927326014604,66.0544433957578,355.984898912126,"Rpom","full","hot","2","1",0
14389.0297772679,2071.86487907466,27353.3374916356,5537.65825446898,2307.7057164707,459.582640282956,16511.2723926967,6176.16274734729,25588.9487142721,5158.93102953828,2237.33567536564,386.459516298633,62.5862728228659,355.674792084887,"Rpom","full","hot","3","1",0
15567.4238901646,2076.15097588978,43013.8365384615,8744.07496172981,3614.93977229238,477.443168771527,17752.1069173364,6166.99947378492,40153.719192499,8126.13279755071,3449.99622081898,480.472828166858,67.5445847684654,354.724837351703,"Amac","full","hot","1","1",0
15360.5931176117,2027.11961530755,50743.8621518734,10342.1768182729,4292.20296533761,489.096924464035,17500.6210178321,6085.33430174314,47296.8717691845,9584.90007012623,4081.48261871368,524.865558004408,69.2865658184732,352.780855539972,"Amac","full","hot","2","1",0
15216.1337338569,2033.91801882776,42200.4578267657,8584.87028714698,3557.17498462557,475.204030465017,17388.027390132,6106.69326836653,39442.4536638441,7985.87544349307,3406.69113959979,474.04366337102,67.4055537158806,354.238705709825,"Amac","full","hot","3","1",0
14711.8137309116,2135.35611893317,18485.2829980008,3714.13586286103,1564.45995150793,448.914117997363,16926.8079458931,6271.91343740695,17431.4764983623,3473.39559317708,1545.01437747246,316.133055425582,58.0088051384576,359.074524650134,"Rpom","noB12","hot","1","1",0
15832.9737425663,2265.16752343514,65783.4085777643,13502.3357524443,5660.2610623929,507.470718677553,18028.5165809898,6330.25375466183,61295.9003628666,12508.6481705473,5334.83091422236,595.112035077109,71.4671908073783,355.574135671807,"Rpom","noB12","hot","2","1",0
15195.3170526524,2155.64207244656,49700.3137866192,10144.3662410926,4212.27479216152,490.085609659541,17333.6439528899,6232.52781076801,46378.4832244656,9416.31091646872,4004.26959619953,516.638608471892,68.9174089469517,353.534194378464,"Rpom","noB12","hot","3","1",0
15881.7936371914,2122.97461303626,99797.6662739007,20476.0536125542,8608.70478281827,549.087729634192,17899.1397354186,6166.09538857051,91359.3721814579,18630.2331423062,7946.23169621338,739.887365433024,77.4343634513417,357.584810668952,"Amac","noB12","hot","1","1",0
15022.1396272875,2126.61318484526,110763.037327215,22847.3077956237,9689.27779954111,571.548771615647,17018.6583468577,6157.65823493201,101152.383121607,20740.0127595277,8902.16206838659,795.010912753931,78.8082153450109,353.422071744362,"Amac","noB12","hot","2","1",0
16313.4971818723,2050.46244787609,30947.4972735188,6274.01186821244,2618.74898043349,468.739403381753,18607.0382165605,6151.07579159602,29064.6124730789,5857.72528983183,2535.51853549008,414.991889291115,64.2507904504422,355.648169362599,"Amac","noB12","hot","3","1",0
15111.4492102307,2440.85678408565,49711.5325490714,10105.4560174476,4220.56612252991,495.559183133963,17141.7874562157,6551.29793139911,46274.314255502,9363.06952613839,4010.69413786267,518.93893331571,69.0237922146586,356.563677218954,"Rpom","full","cold","1","2",1
15132.8648958532,2461.32097585833,50822.0947194089,10348.4660806421,4337.37480094274,496.396076183196,17277.1177782024,6575.76355181859,47595.306388942,9644.21160583477,4129.44142939041,524.313841645965,68.8952799541372,353.818204981209,"Rpom","full","cold","2","2",1
15422.27480774,2497.87658149343,50164.0005581741,10206.2963284545,4272.06970974944,496.061275117837,17550.6057429918,6618.92712726371,46793.6767551476,9475.88588439593,4055.99162738774,521.90014884644,68.9697345571818,355.789940461424,"Rpom","full","cold","3","2",1
15287.1109831431,2282.22432206052,56217.6082085645,11423.8767668307,4756.25442362056,503.007329075489,17415.2882420689,6371.18244162915,52541.4819914145,10614.558056748,4513.00282692912,554.558109098524,70.2581405088472,354.299026279971,"Amac","full","cold","1","2",1
15101.2245211107,2229.65628867,54875.1491362669,11151.5466514874,4648.2112557541,501.917536999456,17219.8307677078,6320.21170123249,51318.5835766965,10371.7757263773,4423.71330990447,552.082215512548,69.9390189575806,354.170667722615,"Amac","full","cold","2","2",1
14969.3685234736,2233.63142787643,49349.7535879348,10013.1583556312,4184.17090732182,496.352274385794,17023.0061785454,6337.04475796643,46010.538701046,9291.26431525176,3976.93855509608,522.875796643153,69.1380685964485,356.147847239115,"Amac","full","cold","3","2",1
14701.0214106528,2277.21527332128,43495.8325068549,8851.91126538708,3712.58392159151,486.616241759524,16804.9907823348,6385.92497520565,40768.3924508488,8264.67784843358,3551.19018727029,492.470217606907,67.548509421854,355.069132489353,"Rpom","noB12","cold","1","2",1
15913.9420469889,2484.6782068593,55871.9929786659,11401.0061571699,4805.90602214421,509.145827707264,18198.8840399676,6585.59362678909,52405.5955711585,10633.4122603295,4572.87842290035,556.128274372131,69.6564947339995,355.93102889549,"Rpom","noB12","cold","2","2",1
14582.056978022,2298.30483516484,43335.2067582418,8822.20763736264,3709.79054945055,490.698571428571,16728.0576923077,6421.1293956044,40723.5577472527,8259.15791208791,3560.53708791209,489.445494505494,67.3441758241758,354.880604395604,"Rpom","noB12","cold","3","2",1
15406.4999262863,2241.18069684014,43517.7686372795,8814.23519583272,3687.01002506266,484.18413681262,17537.7415106393,6362.92898913952,40647.2502334267,8198.39525283798,3524.30556784117,490.87994496044,67.953658656445,356.482726423903,"Amac","noB12","cold","1","2",1
17237.9781429569,2258.32527791203,89023.8401267386,18150.7039901187,7602.50636378283,543.504484184523,19465.8317491005,6344.69776059288,82286.5835347189,16639.2563235057,7098.0204607701,701.775038934536,75.2264110412975,356.501745341281,"Amac","noB12","cold","2","2",1
15917.6449179325,2190.51784075849,47124.5532674075,9567.92511978795,4003.58792945254,488.823274543786,18038.6724946478,6281.17891732083,43795.3168518707,8848.11397695993,3803.46401264145,509.373483535529,68.8518197573657,355.435620348659,"Amac","noB12","cold","3","2",1
14653.565334193,2006.34608496311,47729.5506483272,9706.56819972777,4076.20542302457,493.125904434415,16857.1228956229,6115.45852138405,44839.4258542876,9080.15785514722,3900.70431262984,509.440934164338,68.0568808653915,358.342001576044,"Rpom","full","med","1","2",1
14423.0020098731,2040.92369534556,45965.967348378,9344.08977433004,3930.17316643159,491.911882933709,16555.9067348378,6130.18727080395,43074.0138222849,8717.17838504936,3759.47852609309,498.65437235543,67.6939351198872,358.509097320169,"Rpom","full","med","2","2",1
14641.1907716169,2073.27008354189,36699.3441080052,7435.79710247101,3123.46906834925,478.972434699848,16801.0283760443,6186.30787126793,34399.4902181959,6946.47580105044,3007.2243998731,448.379710247101,65.5301209066234,356.516373506292,"Rpom","full","med","3","2",1
14042.8276710567,1916.93814836563,35519.9082291754,7190.07317618768,3015.52654978609,475.506249475715,16130.4112350754,6019.8059726533,33330.4523949333,6732.77345301009,2911.56729021615,446.129910801667,65.7653161088276,357.136174258312,"Amac","full","med","1","2",1
14168.2257773895,1892.8756995823,35441.635125174,7181.46889076961,3016.87332441508,476.02309645363,16330.0193562478,5990.39111086844,33351.1181031423,6744.96595593655,2919.18930355729,446.725108520571,65.5851374593901,358.434846706162,"Amac","full","med","2","2",1
14393.0195446133,1876.99167180753,36076.5473893781,7307.94425438842,3068.76748359598,478.758706746677,16629.9287757277,5984.06093320621,34083.19536201,6889.11693118726,2980.3912287589,452.803095732152,65.6314003701419,357.228786944086,"Amac","full","med","3","2",1
14049.129991905,2020.16746492175,31241.7185307609,6313.14409066379,2660.80723826228,475.575620615219,16155.8870750135,6168.78146923907,29326.711650027,5910.06877361036,2575.58550323799,414.511063140853,63.6734012412304,357.165070156503,"Rpom","noB12","med","1","2",1
14319.2182465343,2059.70413388285,41403.3288060447,8413.58942175596,3540.15954789559,483.064974397402,16405.3936867741,6163.33486324466,38716.0478955914,7844.64805794929,3386.24547271138,476.200168602473,66.735075558886,355.737105033096,"Rpom","noB12","med","2","2",1
14234.6323054918,1997.27961281309,36879.7209526661,7487.01436982337,3156.36340351928,479.179689319097,16367.8986794398,6109.74307288028,34617.9379303463,7009.72906895519,3044.31054784952,451.48717692845,65.5216378937564,357.056913814323,"Rpom","noB12","med","3","2",1
14013.8982193657,1905.41294384153,33883.6290433042,6863.74691813297,2889.60570540512,473.246681066273,16107.4284058582,6041.24776103677,31829.2409914656,6436.28930038984,2795.98509113897,440.036903382152,65.206089979981,356.729164471605,"Amac","noB12","med","1","2",1
13897.2407880244,1880.91726744768,39588.4621257635,8035.55945228797,3375.30196755783,485.413562631421,15981.690222289,5985.65757985381,37184.9840542705,7524.71710723941,3253.23217682988,473.812681485932,66.7901271653149,354.265970761991,"Amac","noB12","med","2","2",1
14597.8074367873,1887.23763014378,39281.9837382251,7962.49432325235,3342.20014873575,480.831705503223,16789.439439762,6002.2220872583,36950.9663609321,7467.28525037184,3226.29935547843,471.051165096678,66.7060981655925,355.594496777392,"Amac","noB12","med","3","2",1
14651.9936852116,1925.63170708512,39500.30510699,8008.76087494056,3373.33030908226,485.111821207798,16871.6058392772,6038.07532097004,37136.3780313837,7508.6932382311,3255.27663338088,464.472962434617,66.0937517831669,352.693789824061,"Rpom","full","hot","1","2",1
13910.4097043812,2040.16122015552,17403.3401842908,3477.32507792964,1488.44294865207,454.815726372761,16054.8149898948,6191.96219984243,16439.5043332306,3258.90764909396,1473.83451512349,305.479738293427,56.6166546774912,355.242883567979,"Rpom","full","hot","2","2",1
14846.9716944191,2015.67868131048,39613.0991254732,8039.30574875534,3387.16371739171,482.407652576032,17083.6842752988,6125.39756475041,37192.3937048985,7522.07231162244,3261.16517182867,461.284006787373,65.8950754256093,353.830502153685,"Rpom","full","hot","3","2",1
16087.5439212515,2093.36559288265,35450.0542283945,7161.67395892924,3012.18903990689,478.150139072456,18311.4330578186,6180.14477344012,33044.6330262561,6658.80454895153,2894.6532460103,445.191998895311,65.6845323811966,354.528337245774,"Amac","full","hot","1","2",1
16146.6825943349,2139.06393754379,45723.1062956661,9265.35003503153,3893.2967871084,493.184546091482,18303.5696927234,6216.4449404464,42420.8208988089,8563.33195876289,3697.80884796317,507.446882193975,68.3792813532179,353.070903813432,"Amac","full","hot","2","2",1
15473.6895264396,2025.46421874467,22830.9126521428,4575.85556237428,1938.44246701442,461.291602741127,17739.6246803723,6149.25616242201,21485.2152159831,4290.51583648699,1903.3701544441,363.028723875763,60.9781800825066,353.929681906515,"Amac","full","hot","3","2",1
14702.1887180178,2072.94136670653,18984.2059829204,3789.37950782395,1617.41691792013,458.28083680035,16891.8790783069,6217.0902322761,17878.0154120837,3543.05339486938,1594.40787279557,325.57983122505,58.2292273745557,354.841718742104,"Rpom","noB12","hot","1","2",1
13725.5969515242,2305.20204183622,7554.3696723067,1518.66116941529,690.327621903334,448.780431212965,15874.8942671521,6552.56743057043,7096.50435496537,1403.28828442921,711.40379810095,203.736203326908,46.6073748839866,355.993181980438,"Rpom","noB12","hot","2","2",1
15199.6530179061,2066.4674443497,24241.4669545182,4863.61952794761,2058.68170025943,464.293209484588,17474.5161735092,6211.4622920484,22786.6115092252,4546.92893815424,2009.54833910851,365.401081257597,60.725222691896,354.454545454545,"Rpom","noB12","hot","3","2",1
17391.0788744051,2413.49261328367,21001.8722325678,4189.57372232568,1778.82079453755,459.567018415063,19660.8393751293,6565.93951996689,19592.3294847921,3889.12650527623,1736.65582453962,346.606641837368,60.2819159942065,353.741837368094,"Amac","noB12","hot","1","2",1
17522.0522254086,2317.36760625772,55026.139702968,11144.6303886596,4686.81849339022,504.475973980555,19529.9057611154,6393.87587139493,50492.8791121681,10167.7613252197,4384.85414189457,554.281084609825,70.5759716490639,355.117227390362,"Amac","noB12","hot","2","2",1
17903.2083382377,2370.09148049625,45805.7054780009,9245.01137032416,3884.89787895195,496.529343911109,19931.3807057605,6452.50514371807,42085.1568068928,8456.33593069517,3656.06226606088,507.950822759481,68.8454530473881,354.393771039808,"Amac","noB12","hot","3","2",1
13460.9984494662,1946.46533823637,31512.21379556,6358.40205969555,2683.28766592283,473.352180700045,15567.586164629,6095.12150737027,29866.1986149962,5998.06172800704,2617.54344113734,413.744109543116,63.4067217734754,355.760337764926,"Rpom","full","cold","1","3",2
13937.1380416518,1978.09966902592,33413.0223942156,6745.56576200418,2843.02492998625,478.727694892815,15966.5535617903,6108.78028412852,31333.9298538622,6297.76843016447,2744.42876928561,427.263210957788,64.3596211619736,355.429421049952,"Rpom","full","cold","2","3",2
13627.1597921437,1946.21674351495,32244.0589170143,6503.68091757891,2746.37132879563,475.869776146712,15641.6808862123,6067.76881737294,30299.2956097153,6082.42459981389,2655.28203841368,420.038612339638,63.8879269784511,353.835377393014,"Rpom","full","cold","3","3",2
14681.4959262326,2008.28524549943,30684.113523681,6113.8151726112,2579.91163451611,475.22022878523,16713.6538371106,6114.91408797702,28632.8564929821,5684.06932049355,2490.87866613508,415.215045849051,64.0727860070946,353.495435540426,"Amac","full","cold","1","3",2
14779.2085655167,2019.05327583381,34299.9466422191,6924.12706916332,2917.95582029009,478.991999918053,16753.8407973449,6110.3429484553,31802.2446836843,6398.52008727362,2791.01691182496,441.21326722937,65.7029214127674,353.974852495288,"Amac","full","cold","2","3",2
14590.0875571535,1936.87198600961,31703.1236664192,6398.61335925593,2701.24443120091,476.092784008754,16634.0764097855,6037.11009613506,29640.4052620267,5959.45807768963,2607.11691547149,426.067060064872,64.7972761733557,354.024004455039,"Amac","full","cold","3","3",2
13973.3007102549,1983.08017123954,30898.2200428099,6228.76096516832,2637.75920412532,473.14619575793,16028.8655380424,6119.33918077447,29015.9516540183,5820.35602257249,2553.06403969644,413.764642926639,63.6378867483946,354.292313679704,"Rpom","noB12","cold","1","3",2
13777.6850201768,1958.51041496583,26403.1993655385,5314.90006064706,2257.42140374612,465.535455202818,15847.6653448718,6090.91222504723,24918.1020270113,4986.23398101281,2203.07886450048,383.336696134916,62.0058780994145,353.45352336078,"Rpom","noB12","cold","2","3",2
13867.5257701328,1964.97178390653,27300.2025213027,5496.57947515307,2330.00969895052,469.096862166665,15900.0465740633,6086.48501119518,25642.1663996095,5133.71254390526,2264.34538450927,391.974999204134,62.5609367870369,353.986565786262,"Rpom","noB12","cold","3","3",2
16382.9927591703,2316.26405812742,31894.943604352,6417.40036643367,2712.25780867645,474.315434136057,18394.6671602645,6430.89175147766,29377.5780491172,5887.20605619486,2581.86881172588,424.185663910048,64.9559024684076,355.393640116958,"Amac","noB12","cold","1","3",2
16493.860487278,2564.95201867793,35266.9865633239,7094.0030812236,2999.28145548108,478.183856929577,18291.0762364601,6689.67906038563,32242.5873542772,6461.01667672564,2828.68638226232,444.14632635558,66.2667958451129,354.449636288555,"Amac","noB12","cold","2","3",2
15055.9473971824,2338.58731980284,13454.5912324994,2661.07725936369,1150.4776659344,452.043116167743,17045.6443489951,6505.92112309693,12543.4308337978,2457.76100855766,1144.66464474245,279.845590565811,55.3761762680744,356.253210487776,"Amac","noB12","cold","3","3",2
14553.6653377448,2028.7854955714,34822.8033743655,7043.52639690923,2984.04490248865,479.680318941247,16712.143893467,6176.93756807299,32761.2204023756,6593.42222724564,2881.78711904811,439.792092229917,64.9660302911983,353.930539857381,"Rpom","full","med","1","3",2
14315.4253324062,1989.77221484712,34463.2275955075,6968.90545125061,2954.55665128432,481.891459637145,16447.4594264281,6124.22848051921,32416.5898602946,6522.19194217924,2854.2203468403,440.902332637967,65.0371704911815,357.214678551109,"Rpom","full","med","2","3",2
12771.9725887527,2018.12166195413,8509.14436066604,1698.62388077286,758.222647659441,450.733015237198,14806.2626256676,6219.33419729815,8042.70108781024,1581.06075243481,780.114691328935,220.650977851084,48.7882500785423,353.942369619855,"Rpom","full","med","3","3",2
13806.8851211513,1900.63815391473,53902.9644506002,10946.7672493393,4626.15512465374,506.576352405515,15861.9900181488,6029.20078326488,50649.9854809437,10232.5855382558,4419.45537619002,554.349317031235,69.5024357627281,356.1766962779,"Amac","full","med","1","3",2
