"name","Population","Parent","Count","ParentCount","sampleName","Species","Media","Temp","Rep","Time_point","vol","vol_ul","cells_per_ul","hours"
"A01.fcs","/Singlets","root",16501,16501,"A01.fcs","Rpom","full","cold","1","1","25099",25.099,657.436551257022,0
"A02.fcs","/Singlets","root",14760,14760,"A02.fcs","Rpom","full","cold","2","1","25078",25.078,588.563681314299,0
"A03.fcs","/Singlets","root",15193,15193,"A03.fcs","Rpom","full","cold","3","1","25083",25.083,605.709045967388,0
"A04.fcs","/Singlets","root",26279,26279,"A04.fcs","Amac","full","cold","1","1","25094",25.094,1047.22244361202,0
"A05.fcs","/Singlets","root",33653,33653,"A05.fcs","Amac","full","cold","2","1","25088",25.088,1341.39827806122,0
"A06.fcs","/Singlets","root",34340,34340,"A06.fcs","Amac","full","cold","3","1","25083",25.083,1369.05473826895,0
"A07.fcs","/Singlets","root",16190,16190,"A07.fcs","Rpom","noB12","cold","1","1","25081",25.081,645.508552290579,0
"A08.fcs","/Singlets","root",16582,16582,"A08.fcs","Rpom","noB12","cold","2","1","25096",25.096,660.742747848263,0
"A09.fcs","/Singlets","root",29160,29160,"A09.fcs","Rpom","noB12","cold","3","1","25088",25.088,1162.30867346939,0
"A10.fcs","/Singlets","root",14717,14717,"A10.fcs","Amac","noB12","cold","1","1","25089",25.089,586.591733428993,0
"A11.fcs","/Singlets","root",14213,14213,"A11.fcs","Amac","noB12","cold","2","1","25093",25.093,566.412943848882,0
"A12.fcs","/Singlets","root",15429,15429,"A12.fcs","Amac","noB12","cold","3","1","25092",25.092,614.897178383549,0
"B01.fcs","/Singlets","root",17172,17172,"B01.fcs","Rpom","full","med","1","1","25100",25.1,684.143426294821,0
"B02.fcs","/Singlets","root",16208,16208,"B02.fcs","Rpom","full","med","2","1","25079",25.079,646.277762271223,0
"B03.fcs","/Singlets","root",12603,12603,"B03.fcs","Rpom","full","med","3","1","25079",25.079,502.531998883528,0
"B04.fcs","/Singlets","root",18631,18631,"B04.fcs","Amac","full","med","1","1","25091",25.091,742.537164720418,0
"B05.fcs","/Singlets","root",18269,18269,"B05.fcs","Amac","full","med","2","1","25078",25.078,728.487120185023,0
"B06.fcs","/Singlets","root",16924,16924,"B06.fcs","Amac","full","med","3","1","25095",25.095,674.397290296872,0
"B07.fcs","/Singlets","root",17057,17057,"B07.fcs","Rpom","noB12","med","1","1","25101",25.101,679.534679893231,0
"B08.fcs","/Singlets","root",19082,19082,"B08.fcs","Rpom","noB12","med","2","1","25101",25.101,760.208756623242,0
"B09.fcs","/Singlets","root",17449,17449,"B09.fcs","Rpom","noB12","med","3","1","25098",25.098,695.234680054188,0
"B10.fcs","/Singlets","root",20161,20161,"B10.fcs","Amac","noB12","med","1","1","25029",25.029,805.505613488354,0
"B11.fcs","/Singlets","root",19581,19581,"B11.fcs","Amac","noB12","med","2","1","25086",25.086,780.55489117436,0
"B12.fcs","/Singlets","root",20740,20740,"B12.fcs","Amac","noB12","med","3","1","25088",25.088,826.690051020408,0
"C01.fcs","/Singlets","root",19474,19474,"C01.fcs","Rpom","full","hot","1","1","25090",25.09,776.165803108808,0
"C02.fcs","/Singlets","root",20131,20131,"C02.fcs","Rpom","full","hot","2","1","25092",25.092,802.287581699346,0
"C03.fcs","/Singlets","root",20922,20922,"C03.fcs","Rpom","full","hot","3","1","25089",25.089,833.911275857946,0
"C04.fcs","/Singlets","root",20904,20904,"C04.fcs","Amac","full","hot","1","1","25107",25.107,832.596487035488,0
"C05.fcs","/Singlets","root",19964,19964,"C05.fcs","Amac","full","hot","2","1","25093",25.093,795.600366636114,0
"C06.fcs","/Singlets","root",21139,21139,"C06.fcs","Amac","full","hot","3","1","25106",25.106,841.989962558751,0
"C07.fcs","/Singlets","root",23509,23509,"C07.fcs","Rpom","noB12","hot","1","1","25094",25.094,936.837491033713,0
"C08.fcs","/Singlets","root",19842,19842,"C08.fcs","Rpom","noB12","hot","2","1","25086",25.086,790.959100693614,0
